好的，这是您提供的单词列表及其对应的中文翻译：

abandon 放弃
abandonment 遗弃
abbreviation 缩写
abolish 废除
above 在...上面
absolute 绝对的
absorb 吸收
abstract 抽象的
absurd 荒谬的
absurdity 荒谬
abuse 滥用
abuse 虐待
abuser 施虐者
academic 学术的
academically 学术上地
accent 口音
acceptability 可接受性
acceptable 可接受的
acceptably 可接受地
access 进入
accidental 偶然的
accommodation 住宿
accompany 陪伴
account 账户
accountant 会计师
accounting 会计
accuracy 准确性
accuse 指控
accuser 指控者
acid 酸
acknowledge 承认
acquire 获得
acre 英亩
actively 积极地
AD 公元
adapt 适应
adapted 改编的
addict 上瘾者
addicted 上瘾的
addiction 上瘾
additional 额外的
adequacy 充足
adequate 足够的
adequately 充分地
adjust 调整
adjustment 调整
administration 行政
administrative 行政的
administratively 行政上地
administrator 管理员
admiration 钦佩
admission 入场
adopt 采纳
adoptee 被收养者
adopter 收养者
advance 前进
advance 预付
advert 广告
advertise 做广告
advertising 广告
adviser 顾问
advocate 倡导
advocate 拥护者
affection 喜爱
age 年龄
aged 年老的
agency 机构
agenda 议程
agent 代理人
aggressive 好斗的
aggressively 攻击性地
aggressiveness 攻击性
agreed 同意的
agricultural 农业的
agriculturalist 农学家
agriculture 农业
aid 帮助
aid 援助
air force 空军
airline 航空公司
alarm 警报
alarmed 惊慌的
alarming 令人担忧的
alarmingly 令人担忧地
album 专辑
alcoholic 酒精的
alert 警惕的
alert 警报
alertness 警惕
alien 外星人
alike 相似的
alike 同样地
allegation 指控
allege 声称
alley 小巷
allowance 津贴
alongside 在旁边
alteration 改变
alternative 替代的
alternative 替代品
aluminium 铝
amaze 使...惊奇
amazement 惊奇
ambassador 大使
ambassadorial 大使的
ambiguous 模棱两可的
ambiguously 含糊不清地
ambition 抱负
ambitious 有抱负的
ambitiously 有抱负地
ambitiousness 雄心勃勃
ambulance 救护车
amuse 逗乐
amused 感到好笑的
amusement 娱乐
amusing 有趣的
amusingly 有趣地
analyse 分析
analysis 分析
analyst 分析师
ancestor 祖先
ancestral 祖先的
angel 天使
anger 愤怒
anger 使...生气
ankle 脚踝
anniversary 周年纪念日
annoy 惹恼
annual 每年的
annually 每年地
ant 蚂蚁
anticipate 预期
anticipatory 预期的
anxiety 焦虑
anxious 焦虑的
anxiously 焦虑地
anyhow 无论如何
apparent 明显的
appetite 食欲
appoint 任命
appointee 被任命者
appreciate 欣赏
appreciation 欣赏
appropriately 适当地
approval 批准
approximate 大约的
approximately 大约
apron 围裙
arch 拱门
architect 建筑师
architectural 建筑的
architecturally 建筑上地
architecture 建筑
arise 出现
armchair 扶手椅
armed 武装的
arrow 箭
artistic 艺术的
artistically 艺术地
ashamed 羞愧的
aside 在旁边
aspirin 阿司匹林
assault 袭击
assault 攻击
assess 评估
assessment 评估
assist 协助
assistance 帮助
assistant 助理
assistant 助手
associate 联想
associate 伙伴
association 协会
assumption 假设
assurance 保证
assure 确保
athlete 运动员
athletic 运动的
atom 原子
atomic 原子的
attachment 附件
attraction 吸引力
authentic 真实的
authentically 真实地
autobiographical 自传的
autobiography 自传
automatic 自动的
automatically 自动地
availability 可用性
avenue 大道
average 平均
award 奖项
awareness 意识
awesome 令人敬畏的
awesomely 令人敬畏地
awkward 尴尬的
awkwardly 笨拙地
awkwardness 笨拙
axe 斧头
backpack 背包
backward 落后的
backwardness 落后
bacon 培根
badge 徽章
bad-tempered 脾气暴躁的
baggage 行李
baker 面包师
bakery 面包店
balanced 平衡的
balcony 阳台
bald 秃头的
baldness 秃头
ballet 芭蕾舞
balloon 气球
ban 禁止
ban 禁令
bandage 绷带
bang 砰击
bang 砰的一声
banker 银行家
banking 银行业
bankrupt 破产的
bankruptcy 破产
banner 横幅
banning 禁止
bare 赤裸的
barely 仅仅
bareness 赤裸
bargain 讨价还价
bark 吠叫
bark 树皮
barrel 桶
barrier 障碍
basin 盆
batch 一批
bathtub 浴缸
bay 海湾
beak 鸟喙
beam 光束
bear 忍受
beat 打败
bee 蜜蜂
beep 蜂鸣声
beg 乞求
behalf 代表
being 存在
belly 肚子
belongings 财物
beneficial 有益的
beneficially 有益地
benefit 利益
berry 浆果
besides 除了
betray 背叛
betrayer 背叛者
better 更好的
bid 出价
bid 投标
bikini 比基尼
bilingual 双语的
bind 捆绑
biographical 传记的
biography 传记
biological 生物学的
biologically 生物学地
bitter 苦的
bitterly 痛苦地
bitterness 苦涩
bizarre 奇异的
bizarrely 奇异地
blade 刀片
blank 空白的
blanket 毯子
blankness 空白
bleed 流血
blend 混合
bless 祝福
blind 盲的
blind 盲人
blink 眨眼
blog 博客
