以下是为你添加中文翻译后的单词分类内容：


### **日常常用单词.txt**  
ache 疼痛  
abdominal 腹部的  
abnormal 异常的  
aboard 在船上（或飞机、火车上）  
abortion 堕胎  
abrupt 突然的  
abstain 戒除；弃权  
abstract 抽象的；摘要  
abundance 丰富；充裕  
academic 学术的；学者  
accelerate 加速  
acceptance 接受；赞同  
accessible 易接近的；可进入的  
accidentally 偶然地；意外地  
accommodate 容纳；提供住宿  
accomplish 完成；实现  
accord 一致；协议  
accordingly 因此；相应地  
accountability 责任；问责制  
accumulate 积累；聚集  
achy 疼痛的  
acknowledgement 承认；感谢  
acoustic 声音的；听觉的  
acquaintance 熟人；相识  
acute 严重的；急性的  
added 额外的；添加的  
addictive 使人上瘾的  
address 地址；演讲；处理  
adhere 粘附；遵守  
adjacent 相邻的；邻近的  
adolescence 青春期  
adore 爱慕；崇拜  
advantageous 有利的；有优势的  
adventurous 爱冒险的；大胆的  
adverse 不利的；有害的  
advisory 顾问的；咨询的  
aerial 空中的；天线  
aesthetic 美学的；审美的  
affectionate 深情的；充满爱的  
affinity 密切关系；吸引力  
affirm 肯定；断言  
afflict 使痛苦；折磨  
affordable 负担得起的  
after-effect 后遗症  
aftermath 后果；余波  
aggravate 加重；激怒  
agile 敏捷的；灵活的  
agony 剧痛；极度痛苦  
aide 助手；助理  
ailment 疾病；小病  
air 空气；天空  
aisle 过道；通道  
ajar （门）微开的  
albeit 尽管；虽然  
alcoholic 酒精的；酗酒者  
alibi 不在场证明  
alien 陌生的；外星人  
alienate 使疏远；使孤立  
alight 下车；降落  
align 使对齐；使一致  
allegedly 据说；据宣称  
allergic 过敏的；对……反感的  
alleviate 减轻；缓和  
alliance 联盟；同盟  
allocate 分配；分派  
allude 暗指；提及  
ally 盟友；同盟国  
almighty 全能的；万能的  
altar 祭坛；圣坛  
alternate 交替的；轮流的  
altitude 海拔；高度  
amateur 业余的；外行  
ambiguity 模棱两可；含糊不清  
ambush 埋伏；伏击  
amend 修正；改进  
amenity 便利设施；舒适  
amid 在……中间；四周是  
amount 数量；总额  
ample 充足的；丰富的  
anaesthetic 麻醉剂；麻醉的  
analogous 相似的；类似的  
analogy 类比；比拟  
anarchy 无政府状态；混乱  
anatomy 解剖学；结构  
anecdote 轶事；趣闻  
anguish 极度痛苦；苦恼  
animosity 敌意；憎恶  
anomaly 异常；反常现象  
anonymous 匿名的；无名的  
anthem 国歌；颂歌  
antibiotic 抗生素；抗菌的  
anticipation 期待；预期  
antidote 解毒剂；矫正方法  
antique 古老的；古董  
antonym 反义词  
apathetic 冷漠的；无动于衷的  
ape 猿；模仿  
apologetic 道歉的；愧疚的  
appal 使惊骇；使震惊  
apparatus 仪器；机构  
appendix 附录；阑尾  
appetizing 开胃的；诱人的  
applaud 鼓掌；称赞  
applicant 申请人  
applied 应用的；实用的  
appraisal 评估；评价  
apprehension 忧虑；理解  
apprentice 学徒；徒弟  
approximation 近似值；接近  
apt 恰当的；有……倾向的  
aquarium 水族馆；水族箱  
arbitrary 任意的；专断的  
arc 弧；弧线  
archive 档案；档案馆  
arena 舞台；竞技场  
arguable 可论证的；有争议的  
arithmetic 算术；计算  
armour 盔甲；装甲  
aroma 芳香；香味  
arouse 唤起；激起  
array 排列；数组  
arrogance 傲慢；自大  
artefact 手工艺品；人工制品  
articulate 善于表达的；发音清晰的  
artwork 艺术品；插画  
ascend 上升；攀登  
ascertain 查明；确定  
ash 灰烬；骨灰  
aspiration 抱负；渴望  
aspire 渴望；追求  
assassin 刺客；暗杀者  
assemble 聚集；装配  
assert 断言；坚持  
asset 资产；优点  
assign 分配；指派  
asthma 哮喘  
astonish 使惊讶；使震惊  
astronaut 宇航员  
astute 精明的；敏锐的  
asylum 庇护所；避难所  
athletics 体育运动；田径  
atlas 地图集；图表集  
attacker 攻击者；袭击者  
attain 达到；获得  
attendance 出席；到场人数  
attic 阁楼；顶楼  
attribute 把……归因于；属性  
atypical 非典型的；反常的  
auction 拍卖  
auditorium 礼堂；观众席  
augment 增加；扩大  
aura 气氛；光环  
austere 简朴的；严厉的  
authoritarian 专制的；独裁者  
authoritative 权威的；可信的  
authorization 授权；批准  
automobile 汽车  
autonomous 自治的；自主的  
autonomy 自治；自主权  
avalanche 雪崩；山崩  
avert 避免；防止  
await 等候；期待  
awaken 唤醒；觉醒  
awe 敬畏；惊叹  
axis 轴；轴线  
bachelor 单身汉；学士  
backbone 支柱；骨干  
backfire 适得其反；回火  
backing 支持；后盾  
backslash 反斜杠  
backup 备份；后备  
bacteria 细菌  
baffle 使困惑；难住  
bail 保释；保证金  
bait 诱饵；引诱  
ballad 民谣；叙事诗  
ballerina 芭蕾舞女演员  
ballot 投票；选票  
banal 平庸的；陈腐的  
banish 放逐；驱逐  
banquet 宴会；盛宴  
baptism 洗礼；浸礼  
bar 酒吧；障碍物  
barbaric 野蛮的；粗野的  
bar code 条形码  
bargain 交易；便宜货  
barren 贫瘠的；不育的  
barricade 路障；障碍  
basics 基础；基本要素  
bathe 洗澡；浸泡  
battle 战斗；斗争  
bazaar 集市；市场  
beacon 灯塔；信号台  
bead 珠子；滴  
beam 光束；笑容  
beast 野兽；畜生  
beckon 召唤；示意  
beforehand 预先；事先  
beggar 乞丐；使贫穷  
believer 信徒；相信者  
benchmark 基准；参照标准  
beneficiary 受益人；受惠者  
benign 仁慈的；良性的  
betrayal 背叛；辜负  
beverage 饮料  
beware 当心；警惕  
bewildered 困惑的；不知所措的  
bias 偏见；偏心  
bibliographer 文献学家；书志学家  
bidder 投标人；出价者  
big-head 自大的人；傲慢的人  
bilateral 双边的；双方的  
binoculars 双筒望远镜  
biologist 生物学家  
blackmail 敲诈；勒索  
bland 平淡的；乏味的  
blare 发出响亮刺耳的声音  
blast 爆炸；一阵（风）  
blatant 公然的；炫耀的  
blaze 火焰；光辉  
bleach 漂白；漂白剂  
bleak 荒凉的；黯淡的  
blessing 祝福；好事  
bliss 极乐；幸福  
blister 水疱；气泡  
blizzard 暴风雪；大量  
blossom 花朵；开花  
blot 污渍；污点  
blunt 直率的；钝的  
blur 模糊；使模糊  
blush 脸红；羞愧  
boast 吹嘘；自夸  
bodyguard 保镖；警卫员  
body language 肢体语言  
boiler 锅炉；煮器  
boiling 沸腾的；激昂的  
bolster 支持；加强  
bolt 螺栓；逃跑  
bombard 轰炸；连珠炮似的提问  
bookcase 书架  
booking 预订；预约  
booklet 小册子  
boom 繁荣；激增  
booming 兴旺的；繁荣的  
booth 小房间；摊位  
borderline 边界线；临界的  
boredom 无聊；厌倦  
bouquet 花束；芳香  
bout 发作；回合  
bowel 肠；内部  
box 盒子；拳击  
boycott 抵制；拒绝参与  
brag 吹嘘；自夸  
brainstorm 头脑风暴；集思广益  
brainy 聪明的；有智慧的  
brand 品牌；烙印  
breach 违反；缺口  
breadth 宽度；幅度  
breakdown 故障；崩溃  
breathing 呼吸的；微风  
brew 酿造；酝酿  
bribe 贿赂；收买  
bridge 桥；桥梁  
brief 简短的；摘要  
briefing 简报；情况介绍  
brink 边缘；临界点  
brisk 轻快的；活泼的  
broaden 拓宽；扩大  
broker 经纪人；中间人  
brow 眉毛；额头  
bruise 瘀伤；擦伤  
brutal 残忍的；野蛮的  
bud 芽；花蕾  
buffet 自助餐；冲击  
build 建造；体格  
bulk 大量；主体  
bum 流浪汉；劣质的  
bundle 捆；束  
bungalow 平房；小屋  
burden 负担；责任  
bureau 局；办事处  
bureaucracy 官僚主义；官僚机构  
burst 爆发；爆裂  
bust 半身像；破产  
buttock 臀部；屁股  
buzz 嗡嗡声；流言  
call centre 呼叫中心  
camel 骆驼  
campaigner 活动家；竞选者  
candid 坦诚的；直言不讳的  
cane 手杖；甘蔗  
cape 斗篷；海角  
capitalism 资本主义  
capitalist 资本家；资本主义的  
carefree 无忧无虑的；轻松愉快的  
caretaker  caretaker 看门人；管理员  
caring 关心他人的；有同情心的  
carton 纸板箱；纸盒  
catalyst 催化剂；促使变化的事物  
catastrophe 灾难；灾祸  
cater 提供饮食；迎合  
caution 警告；谨慎  
ceasefire 停火；停战  
cellar 地窖；酒窖  
cement 水泥；巩固  
censor 审查；删改  
census 人口普查；统计  
ceramic 陶瓷的；陶瓷制品  
cf （=compare） 比较；参看  
chair 椅子；主席  
chalk 粉笔；白垩  
challenging 具有挑战性的；困难的  
chamber 房间；议院  
champion 冠军；拥护者  
channel 频道；渠道  
chant 圣歌；反复呼喊  
chaotic 混乱的；无秩序的  
charisma 魅力；感召力  
charm 魅力；魔法  
chart 图表；绘制图表  
checkpoint 检查站；关卡  
cherish 珍爱；珍惜  
chiefly 主要地；首要地  
childcare 育儿；儿童保育  
chill 寒冷；寒意  
chimpanzee 黑猩猩  
chip 芯片；碎片  
cholesterol 胆固醇  
chore 日常事务；杂务  
chronicle 编年史；记录  
chuckle 轻声笑；暗笑  
chunky 矮胖的；厚实的  
churn 搅拌；剧烈搅动  
circulate 传播；循环  
citation 引用；引文  
citizenship 公民身份；公民权  
civic 城市的；公民的  
clan 宗族；家族  
clasp 扣子；紧握  
classification 分类；类别  
classified 机密的；分类的  
classify 分类；归类  
clearance 清除；许可  
clearing 空地；结算  
clench 紧握；咬紧  
cleric 神职人员；牧师  
cliché 陈词滥调；老套  
climax 高潮；顶点  
clinch 确定；最终解决  
clinical 临床的；冷静的  
cloak 斗篷；掩盖  
clone 克隆；复制品  
close 关闭；亲密的  
clown 小丑；蠢货  
cluster 群；簇  
clutch 紧握；离合器  
coalition 联盟；同盟  
coarse 粗糙的；粗俗的  
coastline 海岸线  
cock 公鸡；龙头  
cocoa 可可粉；可可饮料  
cognitive 认知的；认识的  
coherent 连贯的；一致的  
cohesion 凝聚力；团结  
coil 线圈；盘绕  
collaborate 合作；协作  
collective 集体的；集体  
collide 碰撞；冲突  
colloquial 口语的；通俗的  
colon 结肠；冒号  
colonial 殖民的；殖民地的  
colouring 着色；色彩  
columnist 专栏作家  
comeback 复出；恢复  
comet 彗星  
comic 喜剧的；漫画  
commemorate 纪念；庆祝  
commence 开始；着手  
commend 称赞；推荐  
commercially 商业上；以获利为目的  
commission 委员会；佣金  
committed 坚定的；忠诚的  
commodity 商品；日用品  
commonplace 常见的；平凡的  
common sense 常识  
communal 公共的；集体的  
comparable 可比较的；类似的  
comparative 比较的；相对的  
compartment 隔间；分隔的空间  
compass 指南针；范围  
compassionate 有同情心的；怜悯的  
compelling 引人注目的；令人信服的  
compensate 补偿；赔偿  
complement 补充；补足物  
complementary 互补的；补充的  
completion 完成；结束  
complexity 复杂性；复杂事物  
compliment 赞美；恭维  
comply 遵守；服从  
composition 作文；构成  
comprehend 理解；领悟  
concede 承认；让步  
conceited 自负的；自高自大的  
conceivable 可想到的；可想象的  
conception 概念；构想  
conceptual 概念的；观念的  
concession 让步；妥协  
concise 简洁的；简明的  
condemn 谴责；判刑  
condense 浓缩；压缩  
conditional 有条件的；假定的  
condom 避孕套；安全套  
cone 圆锥体；圆锥形东西  
confer 授予；商议  
confide 吐露；信任  
confidentiality 机密性；保密  
confiscate 没收；充公  
conflicting 冲突的；矛盾的  
conform 遵守；符合  
confront 面对；遭遇  
congested 拥挤的；堵塞的  
congregation 会众；集合  
conjunction 结合；连词  
connotation 内涵；含义  
conquest 征服；战利品  
conscientious 认真的；尽责的  
consciously 有意识地；自觉地  
consensus 共识；一致意见  
consent 同意；准许  
consequent 随之发生的；作为结果的  
conserve 保护；保存  
considerate 体贴的；周到的  
consistency 一致性；连贯性  
consolation 安慰；慰藉  
consolidate 巩固；合并  
conspicuous 明显的；惹人注目的  
constant 持续的；不变的  
constituency 选区；选民  
constituent 组成的；成分  
constrain 限制；约束  
constructive 建设性的；有益的  
construe 解释；分析  
consultancy 咨询公司；顾问工作  
contaminate 污染；弄脏  
contemplate 沉思；考虑  
contempt 轻视；蔑视  
contend 竞争；主张  
contentious 有争议的；好争吵的  
contingency 意外事件；应急情况  
continuation 继续；延续  
continuity 连续性；连贯  
contour 轮廓；外形  
contract 合同；收缩  
contractor 承包商；立约人  
contributor 贡献者；投稿人  
controlled 受控制的；受约束的  
convene 召集；集合  
converge 汇聚；集中  
conversely 相反地；反过来  
conversion 转变；转换  
convertible 可转换的；敞篷车  
convey 传达；运输  
convict 证明有罪；囚犯  
conviction 定罪；信念  
cooperative 合作的；合作社  
coordinate 协调；坐标  
copyright 版权；著作权  
corollary 推论；必然的结果  
coroner 验尸官；法医  
corporation 公司；法人团体  
corps 军团；特种部队  
correlate 关联；相关物  
correspond 符合；通信  
correspondence 通信；一致  
corresponding 相应的；一致的  
corrupt 腐败的；使堕落  
cosmetics 化妆品；美容品  
cosmic 宇宙的；广大的  
counselling 咨询；辅导  
counsellor 顾问；辅导员  
counter 柜台；反驳  
counteract 抵消；对抗  
counterpart 对应的人或物；副本  
counterproductive 适得其反的；事与愿违的  
coup 政变；成功之举  
courageous 勇敢的；有胆量的  
courteous 有礼貌的；谦恭的  
courtesy 礼貌；好意  
courtroom 法庭；审判室  
courtyard 庭院；院子  
coverage 覆盖范围；新闻报道  
crackle 噼啪声；爆裂声  
craftily 狡猾地；诡诈地  
craftsman 工匠；手艺人  
crafty 狡猾的；诡计多端的  
cram 塞满；死记硬背  
cramped 狭窄的；挤迫的  
crate 板条箱；装 crate  
crater 火山口；弹坑  
crayon 蜡笔；彩色粉笔  
creak 嘎吱声；发出嘎吱声  
credentials 资格证书；资历  
credibility 可信性；可靠性  
credible 可信的；可靠的  
credit 信用；学分  
creek 小溪；小湾  
creepy 令人毛骨悚然的；怪异的  
cripple 使残废；严重损害  
crisp 脆的；新鲜的  
critically 批判性地；严重地  
critique 评论；批评  
crook 骗子；弯曲  
crooked 弯曲的；不诚实的  
crossing 十字路口；横渡  
cruise 巡航；漫游  
crumble 崩溃；弄碎  
crusade 改革运动；十字军东征  
cubic 立方体的；立方的  
cue 提示；暗示  
cuisine 烹饪；菜肴  
culminate 达到顶点；告终  
cultivate 培养；耕作  
culture shock 文化冲击  
cumulative 累积的；渐增的  
curator 馆长；管理人  
curb 控制；抑制  
curfew 宵禁；晚钟  
curiously 好奇地；奇怪地  
current account 活期账户  
curriculum 课程；课程表  
curse 诅咒；咒骂  
curtail 缩短；削减  
custody 监护；拘留  
customarily 通常；习惯上  
customary 习惯的；惯例的  
cynic 愤世嫉俗者；怀疑论者  
cynical 愤世嫉俗的；怀疑的  
dangerously 危险地；不安全地  
dangle 悬挂；摇摆  
darken 使变暗；变黑  
dart 飞奔；投掷  
dated 过时的；陈旧的  
daunting 令人畏惧的；艰巨的  
dawn 黎明；开端  
daydream 白日梦；空想  
day-to-day 日常的；逐日的  
dazzle 使 dazzle；耀眼  
dealing 交易；行为  
debris 碎片；残骸  
debut 首次亮相；初次登台  
deceased 已故的；死者  
deceive 欺骗；欺诈  
deception 欺骗；诡计  
decidedly 确实地；果断地  
decisive 决定性的；果断的  
decorative 装饰性的；装潢的  
decree 法令；判决  
dedicate 奉献；献身  
dedicated 专注的；献身的  
deduce 推论；推断  
deduct 扣除；减去  
deed 行为；契约  
deem 认为；视作  
default 默认；违约  
defective 有缺陷的；有缺点的  
defensive 防御的；自卫的  
defer 推迟；延期  
defiance 违抗；挑战  
deficiency 缺乏；不足  
deficit 赤字；亏损  
definitive 最终的；确定的  
deflect 使偏转；使转向  
delegate 代表；授权  
delight 高兴；使高兴  
demise 死亡；终止  
demographic 人口统计的；人口学的  
demolish 拆除；毁坏  
demon 恶魔；魔鬼  
denial 否认；拒绝  
denotation 字面意义；指示  
denote 表示；意味着  
denounce 谴责；告发  
dental 牙齿的；牙科的  
dependability 可靠性；可信赖  
dependable 可靠的；可信赖的  
depict 描绘；描述  
deploy 部署；调度  
deport 驱逐出境；放逐  
deposit 存款；押金  
depot 仓库；车站  
deprivation 剥夺；丧失  
deprive 剥夺；使丧失  
descendant 后代；后裔  
descent 下降；血统  
descriptive 描述的；叙述的  
desert 沙漠；抛弃  
designate 指定；任命  
desperation 绝望；不顾一切  
despise 鄙视；厌恶  
destined 命中注定的；预定的  
destructive 破坏性的；有害的  
detach 分离；分开  
detain 拘留；留住  
detector 探测器；检测仪  
deter 阻止；威慑  
detrimental 有害的；不利的  
devastate 摧毁；破坏  
devastation 毁灭；破坏  
developmental 发展的；发育的  
deviation 偏差；背离  
devious 迂回的；狡猾的  
devotion 奉献；忠诚  
devour 吞噬；狼吞虎咽  
diagnose 诊断；判断  
diagnosis 诊断；判断  
diagonal 对角线的；斜线  
dice 骰子；掷骰子  
dictate 口述；支配  
dictator 独裁者；专制者  
dietary 饮食的；规定饮食的  
differentiate 区分；使有差异  
digest 消化；摘要  
digit 数字；手指  
dilute 稀释；冲淡  
dim 昏暗的；模糊的  
diner 餐馆；用餐者  
dinosaur 恐龙；过时的东西  
diplomacy 外交；交际手段  
diplomatic 外交的；有手腕的  
dire 极其严重的；危急的  
directive 指示；指令  
disadvantaged 处于不利地位的；贫困的  
disbelief 怀疑；不相信  
discard 丢弃；抛弃  
discern 辨别；识别  
discharge 排放；解雇  
disciple 信徒；门徒  
discipline 纪律；训练  
disclose 揭露；透露  
discomfort 不适；不安  
discount 折扣；贴现  
discourse 论述；谈话  
discredit 使丧失信誉；怀疑  
discreet 谨慎的；慎重的  
discrepancy 差异；不一致  
discretion 谨慎；自行决定权  
discriminate 歧视；区分  
disgrace 耻辱；使丢脸  
disgust 厌恶；反感  
dismal 凄凉的；令人沮丧的  
dismantle 拆除；拆解  
dismay 沮丧；使惊慌  
